# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: lonelyfloater
# Property: Lonely Floater - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20160101
# End date: 20250825
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/products/copy-of-riveras,6,6,1,0,21,0,0
/products/float-hoodie,6,5,1.2,8.6,24,0,0
/products/introvert-backpack,6,6,1,3,26,0,0
/collections/accessories/products/lfxnyc-sticker-pack,5,1,5,0,14,4,0
/collections/hats/products/lil-homie-lo-youth-baseball-cap,5,5,1,4,24,5,0
/collections/lunar-return/products/fs-embroidered-sweatshirt,5,3,1.6666666666666667,17.333333333333332,13,0,0
/collections/lunar-return/products/fs23-ribbed-knit-beanie,5,5,1,2,17,1,0
/collections/masks,5,5,1,15,19,3,0
/collections/mens/products/champion-x-lonely-floater-sweatshirt,5,2,2.5,28.5,13,0,0
/collections/mens/products/lmmt-2-0-crewneck-sweatshirt,5,2,2.5,26,17,1,0
/collections/shirts/products/wavy-baby-short-sleeve-unisex-t-shirt,5,5,1,0,24,5,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-unisex-boxer-briefs,5,2,2.5,90,16,0,0
/pages/the-sound,5,6,0.8333333333333334,14.5,17,0,0
/products/dolo-lmnt-hoodie,5,6,0.8333333333333334,5.833333333333333,22,0,0
/products/mens-varsity-jacket,5,6,0.8333333333333334,7.5,25,0,0
/products/mr-smiley-long-sleeve-1,5,3,1.6666666666666667,13.333333333333334,17,0,0
/products/nope-youth-short-sleeve-t-shirt,5,1,5,44,6,0,0
/products/ph-balance-mens-champion-t-shirt,5,3,1.6666666666666667,3,15,0,0
/products/still-humvn-jersey,5,5,1,0,17,0,0
/products/travis-michael-x-lonely-floater-family-business-sweatshirt,5,3,1.6666666666666667,0,11,0,0
/products/vision-quest-unisex-fleece-sweatpants,5,5,1,2.2,15,0,0
/products/wavy-baby-womens-crop-top,5,5,1,1.2,16,0,0
/collections/beanies,4,4,1,10.5,16,1,0
/collections/bottoms/products/unisex-track-pants,4,1,4,27,8,0,0
/collections/sweatspants-joggers/products/vision-quest-unisex-fleece-sweatpants,4,1,4,14,9,0,0
/collections/the-aveek-collection/products/aveek-avm-foam-trucker-hat,4,2,2,9.5,13,1,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-short-sleeve-t-shirt,4,2,2,25,13,0,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-women-s-heavyweight-boxy-tee,4,1,4,32,11,0,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-crop-hoodie-1,4,3,1.3333333333333333,20.666666666666668,11,0,0
/collections/travis-micheal-x-lonely-floater-family-business/products/travis-michael-x-lonely-floater-family-business-mens-athletic-long-shorts,4,2,2,31.5,10,0,0
/collections/womens/products/fishscale-floata-introvert-leggings,4,2,2,66,9,0,0
/collections/womens/products/lmmt-2-0-crewneck-sweatshirt,4,3,1.3333333333333333,19.333333333333332,12,0,0
/pages/malicious-beats,4,4,1,1.5,12,0,0
/products/assorted-40mm-pyramid-black-obsidian-fluorite-pink-quartz-natural-stone-carved-point-chakra-healing-reiki-crystal-free-pouch,4,4,1,3.5,17,0,0
/products/camo-vq-dad-hat,4,4,1,4.5,14,0,0
/products/custom-rash-guard,4,4,1,6.25,17,0,0
/products/ellis-hoodie,4,1,4,27,10,0,0
/products/gray-duffy,4,4,1,9.25,20,0,0
/products/lfx-ras-dye-unisex-hoodie,4,3,1.3333333333333333,8.666666666666666,13,0,0
/products/lonely-floater-lunar-return-dad-hat,4,2,2,4,9,0,0
/products/white-fish-scale-wallet,4,3,1.3333333333333333,13.666666666666666,15,0,0
/account/register,3,3,1,1.6666666666666667,10,0,0
/collections/all/products/fs-gen2-blk,3,3,1,0,7,0,0
/collections/all/products/k2-cap,3,2,1.5,6.5,12,2,0
/collections/all/products/splash-summer-festival-floater-fanny-pack,3,2,1.5,3.5,11,2,0
/collections/all/products/vision-quest-recycled-tracksuit-jacket,3,3,1,10.333333333333334,16,3,0
/collections/bags/products/fishscale-floata-tote-bag,3,3,1,14.333333333333334,8,0,0
/collections/bags/products/og-yellow-camo-duffy-1,3,1,3,89,7,0,0
/collections/bottoms/products/floater-unisex-joggers,3,1,3,29,7,0,0
/collections/kids,3,3,1,8.333333333333334,12,0,0
/collections/long-sleeve-tops,3,3,1,42,11,0,0
/collections/lunar-return/products/earth-print-bandana,3,3,1,0.6666666666666666,11,1,0
/collections/lunar-return/products/vision-quest-unisex-hoodie,3,2,1.5,6,8,0,0
/collections/mens/products/fire-red-t-shirt,3,1,3,23,7,0,0
/collections/mens/products/lfx-sink-or-swim-unisex-sweatshirt,3,2,1.5,10.5,9,0,0
/collections/pre-flight/products/astro-tee,3,3,1,7,14,2,0
/collections/sdubd/products/sdubd-heavyweight-tee,3,3,1,10.666666666666666,9,0,0
/collections/sdubd/products/sdubd-mens-heavyweight-tee,3,2,1.5,17,9,0,0
/collections/shirts/products/dream-big-unisex-t-shirt,3,1,3,21,7,0,0
/collections/shop-all/products/galaxy,3,3,1,19.666666666666668,17,3,0
/collections/shorts,3,3,1,5.333333333333333,13,1,0
/collections/sweaters-hoodies/products/ny-reppin-long-sleeve-tee,3,2,1.5,6,7,0,0
/collections/sweaters-hoodies/products/thunda-sweatshirt,3,1,3,58,7,0,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-unisex-athletic-long-shorts,3,1,3,10,11,0,0
/collections/travis-micheal-x-lonely-floater-family-business/products/unisex-fleece-pullover,3,2,1.5,49.5,8,0,0
/collections/trials/products/introvert-backpack,3,1,3,115,11,0,0
/collections/trials/products/las-manos-1,3,3,1,23.333333333333332,12,1,0
/collections/trials/products/not-a-day-unisex-hoodie,3,3,1,6.666666666666667,11,1,0
/collections/womens/products/womens-yardie-crop-hoodie,3,3,1,11.333333333333334,9,0,0
/pages/micah,3,4,0.75,1.25,9,0,0
/products/camo-floater-3-4-sleeve-raglan-shirt,3,2,1.5,16,8,0,0
/products/dressy-sweats,3,3,1,1.6666666666666667,11,0,0
/products/ellis-laced-hoodie,3,2,1.5,13.5,11,0,0
/products/fs-bucket-hat,3,2,1.5,13,9,0,0
/products/introvert-duffy,3,3,1,0,12,0,0
/products/lmnt-forever-face-mask,3,3,1,0,9,0,0
/products/lone-sailor-tee,3,3,1,2.3333333333333335,11,0,0
/products/lonely-x-dad-hat,3,2,1.5,5,11,0,0
/products/multi-layer-leather-alloy-leaf-beads-bracelet-charms-rope-wristband,3,3,1,7,13,0,0
/products/teeth-of-kota,3,2,1.5,8.5,9,0,0
/products/travel-bugs-duffle-bag,3,2,1.5,3.5,8,0,0
/products/vanta-fs-3-0-dad-hat,3,2,1.5,0,7,0,0
/products/vision-quest-phone-case-17-different-phone-models,3,3,1,12.333333333333334,14,0,0
/products/womens-fs-sports-bra,3,3,1,0,11,0,0
//checkout/,2,2,1,0,7,0,0
/collections/accessories/products/earth-duffy,2,2,1,113.5,7,0,0
/collections/bags/products/yute-backpack,2,1,2,15,6,0,0
/collections/bottoms/products/fishscale-floata-introvert-leggings,2,1,2,0,5,1,0
/collections/hats-1/products/clarke-snap-back,2,2,1,5,7,0,0
/collections/hats-1/products/float-old-school-bucket-hat,2,3,0.6666666666666666,8.333333333333334,6,0,0
/collections/lunar-return/products/shine-bright-tee-unisex-long-sleeve-tee,2,2,1,27,8,0,0
/collections/mens/products/at-your-own-wavelength-short-sleeve-unisex-t-shirt,2,2,1,2.5,7,1,0
/collections/mens/products/floater-jersey,2,2,1,5.5,5,1,0
/collections/new/products/bred-fishscale-belt,2,2,1,7.5,11,2,0
/collections/sdubd/products/sdubd-moonlight-mirage-event-long-sleeve-t-shirt,2,1,2,0,5,1,0
/collections/shop-all/products/las-manos-1,2,2,1,8,11,2,0
/collections/sweaters-hoodies/products/champion-x-lonely-floater-hoodie,2,2,1,1,10,2,0
/collections/sweaters-hoodies/products/float-hoodie,2,1,2,106,5,0,0
/collections/sweaters-hoodies/products/fs-wave-unisex-sweatshirt,2,1,2,36,5,0,0
/collections/sweaters-hoodies/products/lfx-sink-or-swim-unisex-sweatshirt,2,1,2,28,5,0,0
/collections/sweaters-hoodies/products/lmmt-2-0-crewneck-sweatshirt,2,2,1,12,6,0,0
/collections/sweaters-hoodies/products/vision-quest-hoodie,2,2,1,5.5,12,2,0
/collections/sweaters-hoodies/products/womens-yardie-crop-hoodie,2,1,2,13,5,0,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-distressed-denim-bucket-hat,2,1,2,13,8,0,0
/collections/the-aveek-collection/products/aveek-toxic-by-nature-yoga-shorts,2,1,2,20,7,0,0
/collections/tops/products/lonely-floater-lux-hoodie,2,2,1,0,10,2,0
/collections/tops/products/women-s-i-can-do-bad-by-myself-crop-hoodie,2,2,1,11,12,2,0
